Date,Product,Category,Region,Quantity,Unit_Price,Sales_Amount
2025-01-01,Tablet,Electronics,Peshawar,8,45887.93,367103.44
2025-01-02,Tablet,Electronics,Lahore,3,41399.77,124199.31
2025-01-03,Headphones,Accessories,Quetta,4,4178.58,16714.32
2025-01-04,Headphones,Accessories,Quetta,2,4699.8,9399.6
2025-01-05,Mouse,Accessories,Lahore,5,1535.24,7676.2
2025-01-06,Smartphone,Electronics,Quetta,9,62285.98,560573.82
2025-01-07,Headphones,Accessories,Lahore,3,4394.22,13182.66
2025-01-08,Keyboard,Accessories,Karachi,3,3215.96,9647.88
2025-01-09,Tablet,Electronics,Quetta,9,41085.46,369769.14
2025-01-10,Keyboard,Accessories,Karachi,2,2931.25,5862.5
2025-01-11,Smartphone,Electronics,Quetta,2,67395.03,134790.06
2025-01-12,Tablet,Electronics,Peshawar,7,45989.97,321929.79
2025-01-13,Charger,Accessories,Islamabad,1,1142.11,1142.11
2025-01-14,Charger,Accessories,Peshawar,2,1182.04,2364.08
2025-01-15,Mouse,Accessories,Lahore,4,1405.46,5621.84
2025-01-16,Tablet,Electronics,Lahore,2,44056.35,88112.7
2025-01-17,Keyboard,Accessories,Peshawar,9,3276.7,29490.3
2025-01-18,Monitor,Electronics,Quetta,2,25198.46,50396.92
2025-01-19,Charger,Accessories,Lahore,9,1147.42,10326.78
2025-01-20,Keyboard,Accessories,Quetta,9,2877.76,25899.84
2025-01-21,Monitor,Electronics,Karachi,9,27434.43,246909.87
2025-01-22,Charger,Accessories,Karachi,8,1081.33,8650.64
2025-01-23,Headphones,Accessories,Islamabad,1,4690.21,4690.21
2025-01-24,Headphones,Accessories,Karachi,5,4883.67,24418.35
2025-01-25,Smartphone,Electronics,Karachi,7,69550.5,486853.5
2025-01-26,Keyboard,Accessories,Lahore,1,2738.14,2738.14
2025-01-27,Tablet,Electronics,Quetta,3,45821.68,137465.04
2025-01-28,Mouse,Accessories,Islamabad,3,1491.66,4474.98
2025-01-29,Monitor,Electronics,Islamabad,1,26108.65,26108.65
2025-01-30,Tablet,Electronics,Islamabad,9,46895.97,422063.73
2025-01-31,Smartphone,Electronics,Lahore,3,58908.58,176725.74
2025-02-01,Tablet,Electronics,Karachi,4,45569.48,182277.92
2025-02-02,Keyboard,Accessories,Quetta,7,3062.65,21438.55
2025-02-03,Tablet,Electronics,Islamabad,4,48985.68,195942.72
2025-02-04,Tablet,Electronics,Islamabad,3,41950.99,125852.97
2025-02-05,Smartphone,Electronics,Lahore,9,59871.43,538842.87
2025-02-06,Keyboard,Accessories,Peshawar,4,3235.54,12942.16
2025-02-07,Headphones,Accessories,Lahore,7,4856.48,33995.36
2025-02-08,Tablet,Electronics,Karachi,1,42551.42,42551.42
2025-02-09,Mouse,Accessories,Karachi,4,1455.77,5823.08
2025-02-10,Headphones,Accessories,Islamabad,9,4486.35,40377.15
2025-02-11,Laptop,Electronics,Islamabad,8,130629.83,1045038.64
2025-02-12,Mouse,Accessories,Karachi,4,1459.09,5836.36
2025-02-13,Laptop,Electronics,Lahore,4,113925.03,455700.12
2025-02-14,Tablet,Electronics,Lahore,3,43207.9,129623.7
2025-02-15,Laptop,Electronics,Karachi,1,131438.76,131438.76
2025-02-16,Keyboard,Accessories,Quetta,1,3080.61,3080.61
2025-02-17,Mouse,Accessories,Lahore,5,1496.84,7484.2
2025-02-18,Charger,Accessories,Peshawar,7,1262.79,8839.53
2025-02-19,Headphones,Accessories,Karachi,6,4381.0,26286.0
2025-02-20,Keyboard,Accessories,Lahore,6,2939.29,17635.74
2025-02-21,Tablet,Electronics,Karachi,9,43387.02,390483.18
2025-02-22,Mouse,Accessories,Quetta,3,1527.27,4581.81
2025-02-23,Headphones,Accessories,Peshawar,3,4690.03,14070.09
2025-02-24,Tablet,Electronics,Islamabad,4,46306.56,185226.24
2025-02-25,Keyboard,Accessories,Karachi,1,2938.54,2938.54
2025-02-26,Tablet,Electronics,Lahore,8,41737.69,333901.52
2025-02-27,Keyboard,Accessories,Karachi,9,2825.44,25428.96
2025-02-28,Tablet,Electronics,Lahore,3,42556.95,127670.85
2025-03-01,Charger,Accessories,Lahore,9,1203.99,10835.91
2025-03-02,Laptop,Electronics,Lahore,1,110234.47,110234.47
2025-03-03,Keyboard,Accessories,Quetta,5,3229.58,16147.9
2025-03-04,Tablet,Electronics,Karachi,9,43642.89,392786.01
2025-03-05,Charger,Accessories,Islamabad,4,1292.9,5171.6
2025-03-06,Charger,Accessories,Karachi,8,1284.22,10273.76
2025-03-07,Laptop,Electronics,Peshawar,6,124055.72,744334.32
