total_bill,tip,sex,smoker,day,time,size
23.45,4.13,Male,Yes,Sat,Dinner,3
19.34,4.04,Male,No,Sat,Dinner,3
26.88,4.43,Male,Yes,Thur,Lunch,2
29.4,6.09,Male,Yes,Thur,Lunch,2
26.1,4.8,Male,No,Fri,Dinner,2
13.07,2.86,Male,No,Sat,Dinner,2
17.63,3.93,Female,No,Sun,Dinner,2
22.59,3.14,Male,No,Sat,Dinner,1
29.54,2.76,Female,Yes,Sat,Dinner,2
18.66,1.56,Female,Yes,Sun,Dinner,2
19.19,2.16,Male,No,Fri,Dinner,2
24.89,4.24,Female,Yes,Sat,Dinner,2
23.05,2.05,Female,Yes,Thur,Lunch,4
33.03,4.61,Female,No,Sat,Dinner,2
24.56,3.86,Male,Yes,Sun,Dinner,4
31.35,3.54,Male,No,Sat,Dinner,4
39.91,6.64,Male,No,Thur,Lunch,4
22.48,2.37,Male,No,Sun,Dinner,4
15.91,2.66,Female,No,Sat,Dinner,4
15.69,2.4,Male,Yes,Thur,Lunch,1
18.49,2.33,Male,No,Sat,Dinner,2
36.76,5.54,Female,Yes,Thur,Lunch,1
16.83,2.45,Male,Yes,Thur,Lunch,2
12.8,1.88,Male,Yes,Thur,Lunch,2
17.45,2.01,Male,No,Sat,Dinner,2
12.56,1.69,Male,Yes,Sun,Dinner,2
32.78,7.49,Male,No,Sun,Dinner,2
32.96,3.68,Male,Yes,Sun,Dinner,3
47.29,4.73,Female,No,Sun,Dinner,5
20.05,2.45,Female,Yes,Sat,Dinner,4
14.66,2.27,Male,No,Sun,Dinner,2
26.98,4.02,Female,Yes,Thur,Lunch,4
19.52,4.01,Male,No,Sat,Dinner,2
24.09,5.4,Female,No,Sat,Dinner,2
31.01,5.14,Female,No,Sat,Dinner,2
15.77,3.4,Male,Yes,Thur,Lunch,2
19.59,3.0,Female,No,Sun,Dinner,3
17.92,3.12,Female,No,Thur,Lunch,2
23.25,5.34,Male,No,Sun,Dinner,2
21.83,2.71,Male,No,Thur,Lunch,2
20.59,2.87,Male,Yes,Sun,Dinner,2
22.47,3.67,Female,Yes,Sat,Dinner,2
17.65,3.28,Female,No,Fri,Dinner,2
20.26,3.06,Male,Yes,Thur,Lunch,2
14.65,2.63,Male,Yes,Sat,Dinner,2
11.69,2.05,Female,No,Sat,Dinner,3
29.91,4.07,Male,No,Sun,Dinner,3
18.67,2.67,Male,Yes,Sun,Dinner,3
21.58,3.31,Male,No,Sat,Dinner,2
13.81,2.7,Male,Yes,Thur,Lunch,3
24.83,6.31,Female,No,Sat,Dinner,4
18.61,1.83,Male,Yes,Fri,Dinner,2
24.5,4.42,Female,No,Fri,Dinner,6
21.15,2.86,Male,Yes,Sun,Dinner,6
21.34,3.75,Male,Yes,Thur,Lunch,3
29.2,4.39,Male,Yes,Sat,Dinner,2
25.25,2.58,Male,No,Fri,Lunch,2
12.97,2.89,Female,No,Thur,Lunch,2
41.49,5.42,Male,No,Sun,Dinner,3
33.02,5.94,Male,No,Sat,Dinner,6
27.62,5.53,Male,No,Thur,Lunch,2
20.43,3.43,Male,No,Thur,Lunch,2
39.26,7.22,Female,No,Fri,Dinner,2
27.52,3.09,Female,No,Sat,Dinner,6
19.78,1.29,Male,Yes,Sat,Dinner,2
32.81,5.43,Male,No,Fri,Dinner,5
22.0,3.95,Male,No,Sat,Dinner,2
17.52,2.26,Female,Yes,Sat,Dinner,3
25.53,4.85,Male,No,Fri,Dinner,2
18.37,1.81,Female,No,Thur,Lunch,4
24.71,1.24,Male,No,Fri,Lunch,1
21.58,2.37,Male,No,Sat,Dinner,2
20.74,3.75,Male,No,Sun,Dinner,2
25.71,4.48,Female,Yes,Sun,Dinner,2
32.3,5.73,Male,No,Thur,Lunch,4
25.25,3.31,Male,No,Fri,Dinner,5
11.29,1.85,Male,No,Sat,Dinner,4
22.51,3.39,Female,Yes,Thur,Lunch,2
29.95,4.17,Female,Yes,Thur,Lunch,3
34.04,6.68,Male,Yes,Thur,Lunch,3
19.01,3.16,Male,No,Fri,Dinner,2
14.85,2.81,Female,Yes,Fri,Dinner,4
26.35,3.65,Female,No,Sun,Dinner,2
18.21,3.28,Male,No,Thur,Lunch,4
22.9,3.77,Male,No,Thur,Lunch,2
15.56,3.15,Male,No,Fri,Dinner,2
15.92,2.05,Male,No,Sat,Dinner,2
28.34,5.44,Male,No,Sat,Dinner,2
26.63,7.41,Female,Yes,Fri,Dinner,2
17.36,2.89,Male,No,Fri,Lunch,2
25.78,3.94,Male,No,Sun,Dinner,2
18.16,2.12,Female,No,Sat,Dinner,3
38.53,5.14,Male,No,Sat,Dinner,6
29.36,5.83,Male,No,Sat,Dinner,3
16.0,2.21,Female,No,Sun,Dinner,2
34.95,2.88,Male,No,Sat,Dinner,2
20.27,4.19,Male,No,Sat,Dinner,4
16.91,2.24,Female,Yes,Sat,Dinner,4
23.37,2.67,Female,Yes,Sat,Dinner,3
37.23,7.07,Male,No,Sat,Dinner,3
14.64,2.71,Female,No,Sun,Dinner,2
12.72,1.9,Female,No,Thur,Lunch,3
25.43,4.75,Male,Yes,Sun,Dinner,1
13.2,1.46,Male,No,Sat,Dinner,3
37.04,5.71,Female,Yes,Sun,Dinner,4
23.67,4.62,Female,No,Fri,Dinner,2
23.68,2.33,Male,No,Sat,Dinner,4
17.05,2.85,Male,Yes,Sun,Dinner,2
16.33,2.21,Female,No,Thur,Lunch,1
16.0,2.92,Male,No,Fri,Lunch,2
24.56,2.92,Female,Yes,Fri,Dinner,2
22.03,3.93,Male,No,Thur,Lunch,2
36.37,5.75,Male,Yes,Sun,Dinner,2
18.09,2.42,Female,No,Fri,Dinner,2
25.11,3.52,Male,No,Thur,Lunch,2
24.64,3.53,Male,No,Sat,Dinner,3
17.0,2.13,Female,No,Sun,Dinner,2
36.02,5.04,Male,Yes,Sat,Dinner,2
9.53,1.57,Male,Yes,Sat,Dinner,2
7.48,1.02,Female,Yes,Sat,Dinner,2
32.3,6.29,Male,Yes,Thur,Lunch,2
10.52,1.8,Male,No,Sun,Dinner,2
18.63,1.99,Male,No,Sat,Dinner,2
30.58,4.65,Female,No,Sat,Dinner,2
