ID,Job_Type,Job_Satisfaction
1,Full-Time,Neutral
2,Full-Time,Satisfied
3,Freelance,Dissatisfied
4,Internship,Neutral
5,Freelance,Very Satisfied
6,Full-Time,Neutral
7,Full-Time,Very Dissatisfied
8,Internship,Dissatisfied
9,Contract,Satisfied
10,Internship,Neutral
11,Freelance,Satisfied
12,Freelance,Dissatisfied
13,Full-Time,Dissatisfied
14,Full-Time,Neutral
15,Contract,Neutral
16,Full-Time,Satisfied
17,Contract,Very Satisfied
18,Full-Time,Satisfied
19,Internship,Very Dissatisfied
20,Freelance,Very Satisfied
21,Part-Time,Neutral
22,Full-Time,Satisfied
23,Full-Time,Satisfied
24,Freelance,Satisfied
25,Freelance,Satisfied
26,Part-Time,Neutral
27,Full-Time,Dissatisfied
28,Internship,Neutral
29,Full-Time,Very Satisfied
30,Internship,Dissatisfied
31,Part-Time,Neutral
32,Part-Time,Neutral
33,Full-Time,Neutral
34,Internship,Very Dissatisfied
35,Part-Time,Very Satisfied
36,Internship,Very Dissatisfied
37,Contract,Dissatisfied
38,Full-Time,Dissatisfied
39,Part-Time,Very Dissatisfied
40,Contract,Satisfied
41,Full-Time,Very Satisfied
42,Internship,Very Dissatisfied
43,Full-Time,Very Satisfied
44,Full-Time,Satisfied
45,Freelance,Dissatisfied
46,Freelance,Very Dissatisfied
47,Full-Time,Satisfied
48,Contract,Dissatisfied
49,Full-Time,Very Dissatisfied
50,Full-Time,Neutral
51,Full-Time,Very Satisfied
52,Full-Time,Neutral
53,Part-Time,Neutral
54,Contract,Neutral
55,Contract,Neutral
56,Freelance,Very Satisfied
57,Full-Time,Satisfied
58,Freelance,Satisfied
59,Contract,Satisfied
60,Internship,Very Dissatisfied
61,Full-Time,Very Satisfied
62,Full-Time,Satisfied
63,Contract,Satisfied
64,Freelance,Neutral
65,Full-Time,Neutral
66,Part-Time,Very Satisfied
67,Full-Time,Neutral
68,Part-Time,Very Satisfied
69,Full-Time,Neutral
70,Freelance,Neutral
71,Contract,Satisfied
72,Internship,Dissatisfied
73,Full-Time,Very Satisfied
74,Internship,Satisfied
75,Contract,Neutral
76,Full-Time,Satisfied
77,Freelance,Neutral
78,Contract,Dissatisfied
79,Part-Time,Very Dissatisfied
80,Full-Time,Very Satisfied
81,Full-Time,Satisfied
82,Full-Time,Satisfied
83,Freelance,Very Satisfied
84,Freelance,Very Satisfied
85,Part-Time,Dissatisfied
86,Part-Time,Satisfied
87,Full-Time,Neutral
88,Part-Time,Satisfied
89,Freelance,Very Satisfied
90,Full-Time,Very Satisfied
91,Full-Time,Very Satisfied
92,Full-Time,Very Satisfied
93,Part-Time,Neutral
94,Full-Time,Satisfied
95,Part-Time,Neutral
96,Part-Time,Very Satisfied
97,Full-Time,Satisfied
98,Full-Time,Satisfied
99,Freelance,Very Satisfied
100,Full-Time,Satisfied
101,Freelance,Satisfied
102,Freelance,Neutral
103,Full-Time,Very Satisfied
104,Full-Time,Satisfied
105,Contract,Neutral
106,Part-Time,Satisfied
107,Full-Time,Neutral
108,Part-Time,Very Dissatisfied
109,Full-Time,Satisfied
110,Freelance,Very Dissatisfied
111,Full-Time,Very Satisfied
112,Full-Time,Very Satisfied
113,Full-Time,Very Satisfied
114,Internship,Neutral
115,Freelance,Neutral
116,Freelance,Very Satisfied
117,Full-Time,Satisfied
118,Contract,Satisfied
119,Part-Time,Satisfied
120,Part-Time,Dissatisfied
121,Freelance,Dissatisfied
122,Full-Time,Satisfied
123,Full-Time,Very Satisfied
124,Freelance,Neutral
125,Freelance,Satisfied
126,Full-Time,Very Satisfied
127,Full-Time,Neutral
128,Part-Time,Very Satisfied
129,Freelance,Satisfied
130,Full-Time,Very Dissatisfied
131,Full-Time,Satisfied
132,Full-Time,Satisfied
133,Full-Time,Neutral
134,Freelance,Neutral
135,Internship,Neutral
136,Part-Time,Satisfied
137,Full-Time,Very Satisfied
138,Contract,Satisfied
139,Full-Time,Satisfied
140,Part-Time,Neutral
141,Full-Time,Neutral
142,Freelance,Very Satisfied
143,Contract,Satisfied
144,Part-Time,Neutral
145,Contract,Very Satisfied
146,Part-Time,Very Dissatisfied
147,Part-Time,Dissatisfied
148,Full-Time,Satisfied
149,Internship,Very Satisfied
150,Freelance,Very Satisfied
151,Part-Time,Neutral
152,Internship,Neutral
153,Freelance,Satisfied
154,Contract,Neutral
155,Freelance,Dissatisfied
156,Freelance,Very Satisfied
157,Contract,Satisfied
158,Full-Time,Very Satisfied
159,Full-Time,Neutral
160,Freelance,Very Satisfied
161,Full-Time,Satisfied
162,Full-Time,Dissatisfied
163,Freelance,Dissatisfied
164,Freelance,Satisfied
165,Part-Time,Satisfied
166,Internship,Neutral
167,Full-Time,Neutral
168,Contract,Neutral
169,Freelance,Dissatisfied
170,Part-Time,Satisfied
171,Internship,Satisfied
172,Full-Time,Very Satisfied
173,Full-Time,Satisfied
174,Full-Time,Satisfied
175,Part-Time,Neutral
176,Full-Time,Neutral
177,Full-Time,Satisfied
178,Part-Time,Dissatisfied
179,Part-Time,Neutral
180,Full-Time,Satisfied
181,Full-Time,Dissatisfied
182,Contract,Neutral
183,Part-Time,Satisfied
184,Full-Time,Very Satisfied
185,Freelance,Neutral
186,Internship,Very Satisfied
187,Full-Time,Satisfied
188,Internship,Neutral
189,Contract,Very Satisfied
190,Part-Time,Very Dissatisfied
191,Part-Time,Satisfied
192,Full-Time,Neutral
193,Freelance,Neutral
194,Full-Time,Satisfied
195,Full-Time,Neutral
196,Freelance,Very Satisfied
197,Full-Time,Neutral
198,Full-Time,Dissatisfied
199,Full-Time,Very Satisfied
200,Full-Time,Neutral
201,Full-Time,Dissatisfied
202,Full-Time,Very Dissatisfied
203,Freelance,Neutral
204,Freelance,Satisfied
205,Full-Time,Very Satisfied
206,Contract,Satisfied
207,Contract,Dissatisfied
208,Contract,Very Satisfied
209,Internship,Neutral
210,Full-Time,Very Satisfied
211,Full-Time,Very Dissatisfied
212,Full-Time,Neutral
213,Full-Time,Very Satisfied
214,Contract,Dissatisfied
215,Part-Time,Neutral
216,Full-Time,Satisfied
217,Contract,Very Satisfied
218,Full-Time,Neutral
219,Full-Time,Satisfied
220,Contract,Satisfied
221,Internship,Dissatisfied
222,Part-Time,Very Satisfied
223,Part-Time,Satisfied
224,Contract,Neutral
225,Internship,Dissatisfied
226,Full-Time,Satisfied
227,Contract,Satisfied
228,Full-Time,Very Dissatisfied
229,Internship,Very Dissatisfied
230,Full-Time,Satisfied
231,Internship,Satisfied
232,Full-Time,Very Satisfied
233,Full-Time,Very Satisfied
234,Full-Time,Satisfied
235,Freelance,Satisfied
236,Contract,Neutral
237,Full-Time,Neutral
238,Full-Time,Satisfied
239,Contract,Very Satisfied
240,Contract,Satisfied
241,Freelance,Very Satisfied
242,Full-Time,Very Dissatisfied
243,Full-Time,Very Satisfied
244,Contract,Dissatisfied
245,Full-Time,Very Satisfied
246,Full-Time,Dissatisfied
247,Part-Time,Neutral
248,Full-Time,Satisfied
249,Full-Time,Satisfied
250,Part-Time,Very Satisfied
251,Full-Time,Satisfied
252,Full-Time,Very Satisfied
253,Contract,Very Satisfied
254,Contract,Satisfied
255,Part-Time,Dissatisfied
256,Full-Time,Dissatisfied
257,Freelance,Satisfied
258,Full-Time,Very Satisfied
259,Freelance,Satisfied
260,Contract,Satisfied
261,Full-Time,Satisfied
262,Freelance,Satisfied
263,Full-Time,Neutral
264,Internship,Neutral
265,Full-Time,Very Dissatisfied
266,Internship,Neutral
267,Part-Time,Satisfied
268,Part-Time,Satisfied
269,Part-Time,Satisfied
270,Contract,Dissatisfied
271,Contract,Dissatisfied
272,Full-Time,Satisfied
273,Contract,Dissatisfied
274,Part-Time,Neutral
275,Part-Time,Neutral
276,Full-Time,Satisfied
277,Internship,Neutral
278,Full-Time,Satisfied
279,Full-Time,Satisfied
280,Freelance,Very Satisfied
281,Freelance,Very Satisfied
282,Contract,Very Satisfied
283,Full-Time,Satisfied
284,Freelance,Satisfied
285,Freelance,Very Satisfied
286,Freelance,Very Satisfied
287,Full-Time,Very Satisfied
288,Full-Time,Very Satisfied
289,Freelance,Satisfied
290,Full-Time,Satisfied
291,Contract,Dissatisfied
292,Full-Time,Satisfied
293,Full-Time,Neutral
294,Part-Time,Very Satisfied
295,Full-Time,Very Satisfied
296,Full-Time,Dissatisfied
297,Full-Time,Neutral
298,Freelance,Neutral
299,Full-Time,Neutral
300,Freelance,Very Satisfied
301,Full-Time,Satisfied
302,Contract,Satisfied
303,Full-Time,Very Dissatisfied
304,Contract,Neutral
305,Full-Time,Satisfied
306,Part-Time,Satisfied
307,Contract,Very Dissatisfied
308,Full-Time,Very Satisfied
309,Freelance,Satisfied
310,Part-Time,Neutral
311,Contract,Neutral
312,Part-Time,Satisfied
313,Contract,Satisfied
314,Internship,Very Dissatisfied
315,Full-Time,Very Satisfied
316,Full-Time,Very Satisfied
317,Freelance,Satisfied
318,Full-Time,Satisfied
319,Full-Time,Very Satisfied
320,Internship,Dissatisfied
321,Internship,Neutral
322,Internship,Dissatisfied
323,Freelance,Neutral
324,Part-Time,Satisfied
325,Freelance,Very Satisfied
326,Full-Time,Satisfied
327,Part-Time,Very Satisfied
328,Full-Time,Neutral
329,Freelance,Satisfied
330,Freelance,Very Dissatisfied
331,Full-Time,Neutral
332,Full-Time,Neutral
333,Full-Time,Dissatisfied
334,Contract,Dissatisfied
335,Freelance,Satisfied
336,Full-Time,Very Dissatisfied
337,Full-Time,Dissatisfied
338,Full-Time,Satisfied
339,Freelance,Satisfied
340,Full-Time,Satisfied
341,Full-Time,Neutral
342,Full-Time,Satisfied
343,Part-Time,Satisfied
344,Freelance,Neutral
345,Full-Time,Satisfied
346,Contract,Satisfied
347,Freelance,Dissatisfied
348,Full-Time,Very Satisfied
349,Full-Time,Satisfied
350,Full-Time,Satisfied
351,Contract,Neutral
352,Part-Time,Dissatisfied
353,Contract,Satisfied
354,Full-Time,Satisfied
355,Internship,Very Dissatisfied
356,Part-Time,Neutral
357,Full-Time,Dissatisfied
358,Full-Time,Dissatisfied
359,Full-Time,Dissatisfied
360,Full-Time,Satisfied
361,Internship,Dissatisfied
362,Contract,Very Satisfied
363,Full-Time,Satisfied
364,Part-Time,Very Satisfied
