ID,Qualification,Marital_Status
1,Intermediate,Single
2,Master,Married
3,Master,Married
4,Bachelor,Single
5,Master,Single
6,PhD,Married
7,Matric,Single
8,Bachelor,Single
9,Intermediate,Single
10,Bachelor,Married
11,Intermediate,Single
12,Master,Single
13,Bachelor,Single
14,Master,Married
15,Intermediate,Married
16,Bachelor,Divorced
17,Master,Divorced
18,PhD,Married
19,Intermediate,Divorced
20,Bachelor,Married
21,Bachelor,Divorced
22,Bachelor,Single
23,Bachelor,Single
24,Bachelor,Divorced
25,Bachelor,Married
26,Bachelor,Married
27,Bachelor,Divorced
28,Bachelor,Married
29,Bachelor,Single
30,Intermediate,Married
31,Bachelor,Widowed
32,PhD,Divorced
33,Bachelor,Married
34,Bachelor,Single
35,Matric,Single
36,Intermediate,Divorced
37,Bachelor,Married
38,Bachelor,Married
39,PhD,Married
40,Intermediate,Single
41,Matric,Single
42,Intermediate,Single
43,Intermediate,Single
44,Bachelor,Single
45,Intermediate,Married
46,Master,Married
47,Bachelor,Married
48,Intermediate,Married
49,Intermediate,Divorced
50,Bachelor,Married
51,Bachelor,Widowed
52,Bachelor,Married
53,Bachelor,Single
54,Matric,Single
55,Master,Married
56,Intermediate,Single
57,PhD,Married
58,Master,Married
59,Bachelor,Married
60,Bachelor,Married
61,Bachelor,Married
62,Bachelor,Single
63,Master,Married
64,Master,Single
65,Bachelor,Married
66,Intermediate,Single
67,Matric,Married
68,Matric,Married
69,Bachelor,Single
70,Intermediate,Single
71,Master,Married
72,Intermediate,Widowed
73,Intermediate,Divorced
74,Bachelor,Married
75,Matric,Single
76,PhD,Single
77,Master,Single
78,Bachelor,Divorced
79,Matric,Single
80,Master,Divorced
81,Master,Divorced
82,Matric,Single
83,Bachelor,Married
84,Bachelor,Married
85,Matric,Married
86,Matric,Single
87,Master,Single
88,Matric,Single
89,Bachelor,Widowed
90,Matric,Single
91,Bachelor,Divorced
92,Master,Married
93,Bachelor,Single
94,PhD,Married
95,PhD,Single
96,Bachelor,Married
97,Bachelor,Single
98,Bachelor,Married
99,Intermediate,Single
100,Intermediate,Married
101,Intermediate,Married
102,Bachelor,Married
103,Master,Single
104,Master,Divorced
105,Master,Married
106,Master,Single
107,Bachelor,Widowed
108,Bachelor,Single
109,Intermediate,Married
110,Bachelor,Married
111,Bachelor,Married
112,Bachelor,Single
113,Master,Married
114,Matric,Married
115,Bachelor,Married
116,Master,Married
117,Intermediate,Single
118,PhD,Divorced
119,Bachelor,Single
120,Intermediate,Single
121,Bachelor,Widowed
122,Bachelor,Married
123,PhD,Married
124,Bachelor,Single
125,Bachelor,Married
126,Intermediate,Married
127,Intermediate,Married
128,Master,Married
129,Bachelor,Married
130,Intermediate,Divorced
131,Bachelor,Married
132,Master,Married
133,Bachelor,Married
134,Master,Divorced
135,Bachelor,Married
136,Intermediate,Widowed
137,Bachelor,Married
138,Bachelor,Married
139,Bachelor,Single
140,Bachelor,Divorced
